company_id,cluster_id
ABB,4
ABB,4
ABB,2
ABB,2
ABB,0
ABB,0
ABB,1
ABB,1
ABB,0
ABB,0
ABB,0
ABB,0
ADANIENSOL,2
ADANIENSOL,4
ADANIENSOL,0
ADANIENSOL,0
ADANIENSOL,4
ADANIENSOL,0
ADANIENT,0
ADANIENT,1
ADANIENT,0
ADANIENT,0
ADANIENT,0
ADANIENT,2
ADANIGREEN,4
ADANIGREEN,0
ADANIGREEN,1
ADANIGREEN,1
ADANIGREEN,1
ADANIGREEN,1
ADANIPORTS,2
ADANIPORTS,2
ADANIPORTS,2
ADANIPORTS,1
ADANIPORTS,1
ADANIPORTS,2
ADANIPOWER,1
ADANIPOWER,2
ADANIPOWER,0
ADANIPOWER,0
ADANIPOWER,4
ADANIPOWER,4
AMBUJACEM,1
AMBUJACEM,0
AMBUJACEM,4
AMBUJACEM,1
AMBUJACEM,0
AMBUJACEM,2
APOLLOHOSP,0
APOLLOHOSP,4
APOLLOHOSP,1
APOLLOHOSP,0
APOLLOHOSP,4
APOLLOHOSP,0
ASIANPAINT,1
ASIANPAINT,1
ASIANPAINT,2
ASIANPAINT,1
ASIANPAINT,2
ASIANPAINT,2
ATGL,1
ATGL,4
ATGL,1
ATGL,0
ATGL,1
ATGL,2
AXISBANK,1
AXISBANK,0
AXISBANK,2
AXISBANK,0
AXISBANK,4
AXISBANK,1
BAJAJ-AUTO,4
BAJAJ-AUTO,4
BAJAJ-AUTO,2
BAJAJ-AUTO,2
BAJAJ-AUTO,4
BAJAJ-AUTO,4
BAJAJ-AUTO,2
BAJAJ-AUTO,2
BAJAJ-AUTO,2
BAJAJ-AUTO,2
BAJAJ-AUTO,4
BAJAJ-AUTO,4
BAJAJFINSV,1
BAJAJFINSV,1
BAJAJFINSV,2
BAJAJFINSV,0
BAJAJFINSV,0
BAJAJFINSV,1
BAJAJHLDNG,0
BAJAJHLDNG,0
BAJAJHLDNG,4
BAJAJHLDNG,0
BAJAJHLDNG,1
BAJAJHLDNG,4
BAJFINANCE,0
BAJFINANCE,2
BAJFINANCE,1
BAJFINANCE,2
BAJFINANCE,1
BAJFINANCE,0
BANKBARODA,4
BANKBARODA,0
BANKBARODA,0
BANKBARODA,2
BANKBARODA,1
BANKBARODA,1
BEL,2
BEL,2
BEL,2
BEL,2
BEL,4
BEL,4
BHARTIARTL,2
BHARTIARTL,0
BHARTIARTL,1
BHARTIARTL,2
BHARTIARTL,2
BHARTIARTL,2
BHEL,4
BHEL,0
BHEL,2
BHEL,4
BHEL,4
BHEL,4
BOSCHLTD,2
BOSCHLTD,4
BOSCHLTD,1
BOSCHLTD,1
BOSCHLTD,1
BOSCHLTD,0
BPCL,1
BPCL,4
BPCL,1
BPCL,1
BPCL,1
BPCL,2
BRITANNIA,4
BRITANNIA,1
BRITANNIA,1
BRITANNIA,0
BRITANNIA,1
BRITANNIA,2
CANBK,1
CANBK,4
CANBK,4
CANBK,2
CANBK,0
CANBK,4
CHOLAFIN,1
CHOLAFIN,4
CHOLAFIN,4
CHOLAFIN,0
CHOLAFIN,4
CHOLAFIN,4
CIPLA,2
CIPLA,1
CIPLA,0
CIPLA,4
CIPLA,4
CIPLA,2
COALINDIA,0
COALINDIA,4
COALINDIA,2
COALINDIA,1
COALINDIA,4
COALINDIA,4
DABUR,4
DABUR,4
DABUR,0
DABUR,4
DABUR,0
DABUR,0
DIVISLAB,2
DIVISLAB,1
DIVISLAB,1
DIVISLAB,2
DIVISLAB,1
DIVISLAB,2
DLF,4
DLF,0
DLF,4
DLF,1
DLF,0
DLF,4
DMART,2
DMART,1
DMART,4
DMART,1
DMART,4
DMART,2
DRREDDY,4
DRREDDY,1
DRREDDY,1
DRREDDY,1
DRREDDY,4
DRREDDY,4
EICHERMOT,2
EICHERMOT,4
EICHERMOT,2
EICHERMOT,1
EICHERMOT,1
EICHERMOT,4
GAIL,1
GAIL,1
GAIL,1
GAIL,0
GAIL,4
GAIL,4
GODREJCP,1
GODREJCP,0
GODREJCP,1
GODREJCP,0
GODREJCP,4
GODREJCP,4
GRASIM,2
GRASIM,4
GRASIM,1
GRASIM,4
GRASIM,0
GRASIM,0
HAL,4
HAL,2
HAL,1
HAL,0
HAL,1
HAL,0
HAVELLS,0
HAVELLS,4
HAVELLS,4
HAVELLS,0
HAVELLS,2
HAVELLS,4
HCLTECH,0
HCLTECH,1
HCLTECH,0
HCLTECH,0
HCLTECH,1
HCLTECH,2
HDFCBANK,2
HDFCBANK,4
HDFCBANK,1
HDFCBANK,1
HDFCBANK,1
HDFCBANK,2
HDFCLIFE,2
HDFCLIFE,0
HDFCLIFE,4
HDFCLIFE,0
